target,itemID,condition,lastOnScreen,test,distanceSec,boundaryScore,norm_RT,norm_acc,phase2_RT,subjID,phase2_acc
Book (ctrl),15,4,0:23,0:27,4,16.0,1423.3846153846155,0.8666666666666667,1170.00007629,1,1
Book (ctrl),15,4,0:23,0:27,4,16.0,1423.3846153846155,0.8666666666666667,,2,0
Book (ctrl),15,4,0:23,0:27,4,16.0,1423.3846153846155,0.8666666666666667,,3,0
Book (ctrl),15,4,0:23,0:27,4,16.0,1423.3846153846155,0.8666666666666667,,4,0
Book (ctrl),15,4,0:23,0:27,4,16.0,1423.3846153846155,0.8666666666666667,,5,0
Book (ctrl),15,4,0:23,0:27,4,16.0,1423.3846153846155,0.8666666666666667,1011.68894768,6,1
Book (ctrl),15,4,0:23,0:27,4,16.0,1423.3846153846155,0.8666666666666667,2098.46282005,7,1
Book (ctrl),15,4,0:23,0:27,4,16.0,1423.3846153846155,0.8666666666666667,749.266862869,8,1
Drawing (non-ctrl),16,4,0:44,0:52,8,12.0,1706.3333333333333,0.7894736842105263,2021.11101151,1,1
Drawing (non-ctrl),16,4,0:44,0:52,8,12.0,1706.3333333333333,0.7894736842105263,1730.32402992,2,1
Drawing (non-ctrl),16,4,0:44,0:52,8,12.0,1706.3333333333333,0.7894736842105263,,3,0
Drawing (non-ctrl),16,4,0:44,0:52,8,12.0,1706.3333333333333,0.7894736842105263,1124.25589561,4,1
Drawing (non-ctrl),16,4,0:44,0:52,8,12.0,1706.3333333333333,0.7894736842105263,,5,0
Drawing (non-ctrl),16,4,0:44,0:52,8,12.0,1706.3333333333333,0.7894736842105263,1246.74391747,6,1
Drawing (non-ctrl),16,4,0:44,0:52,8,12.0,1706.3333333333333,0.7894736842105263,,7,0
Drawing (non-ctrl),16,4,0:44,0:52,8,12.0,1706.3333333333333,0.7894736842105263,1105.99398613,8,1
Wagon (ctrl),9,3,1:26,1:30,4,9.0,1679.235294117647,0.8947368421052632,999.096155167,1,1
Wagon (ctrl),9,3,1:26,1:30,4,9.0,1679.235294117647,0.8947368421052632,1657.42301941,2,1
Wagon (ctrl),9,3,1:26,1:30,4,9.0,1679.235294117647,0.8947368421052632,1305.59301376,3,1
Wagon (ctrl),9,3,1:26,1:30,4,9.0,1679.235294117647,0.8947368421052632,1076.8020153,4,1
Wagon (ctrl),9,3,1:26,1:30,4,9.0,1679.235294117647,0.8947368421052632,,5,0
Wagon (ctrl),9,3,1:26,1:30,4,9.0,1679.235294117647,0.8947368421052632,968.398094177,6,1
Wagon (ctrl),9,3,1:26,1:30,4,9.0,1679.235294117647,0.8947368421052632,1516.44301414,7,1
Wagon (ctrl),9,3,1:26,1:30,4,9.0,1679.235294117647,0.8947368421052632,,8,0
Bulldozer (non-ctrl),10,3,1:59,2:06,7,3.0,1673.7058823529412,0.9444444444444444,1422.68800735,1,1
Bulldozer (non-ctrl),10,3,1:59,2:06,7,3.0,1673.7058823529412,0.9444444444444444,756.35099411,2,1
Bulldozer (non-ctrl),10,3,1:59,2:06,7,3.0,1673.7058823529412,0.9444444444444444,1100.09694099,3,1
Bulldozer (non-ctrl),10,3,1:59,2:06,7,3.0,1673.7058823529412,0.9444444444444444,1151.5288353,4,1
Bulldozer (non-ctrl),10,3,1:59,2:06,7,3.0,1673.7058823529412,0.9444444444444444,,5,0
Bulldozer (non-ctrl),10,3,1:59,2:06,7,3.0,1673.7058823529412,0.9444444444444444,623.337030411,6,1
Bulldozer (non-ctrl),10,3,1:59,2:06,7,3.0,1673.7058823529412,0.9444444444444444,1645.27797699,7,1
Bulldozer (non-ctrl),10,3,1:59,2:06,7,3.0,1673.7058823529412,0.9444444444444444,766.9110298160001,8,1
Funnel (ctrl),11,3,2:13,2:20,7,1.0,1615.16,0.9259259259259259,1330.55520058,1,1
Funnel (ctrl),11,3,2:13,2:20,7,1.0,1615.16,0.9259259259259259,1356.26482964,2,1
Funnel (ctrl),11,3,2:13,2:20,7,1.0,1615.16,0.9259259259259259,,3,0
Funnel (ctrl),11,3,2:13,2:20,7,1.0,1615.16,0.9259259259259259,1095.01600266,4,1
Funnel (ctrl),11,3,2:13,2:20,7,1.0,1615.16,0.9259259259259259,1036.78703308,5,1
Funnel (ctrl),11,3,2:13,2:20,7,1.0,1615.16,0.9259259259259259,,6,0
Funnel (ctrl),11,3,2:13,2:20,7,1.0,1615.16,0.9259259259259259,1911.6191864,7,1
Funnel (ctrl),11,3,2:13,2:20,7,1.0,1615.16,0.9259259259259259,919.641971588,8,1
Steering wheel (ctrl),12,3,2:50,2:57,7,5.0,1069.842105263158,0.9047619047619048,665.869951248,1,1
Steering wheel (ctrl),12,3,2:50,2:57,7,5.0,1069.842105263158,0.9047619047619048,739.07494545,2,1
Steering wheel (ctrl),12,3,2:50,2:57,7,5.0,1069.842105263158,0.9047619047619048,1117.49410629,3,1
Steering wheel (ctrl),12,3,2:50,2:57,7,5.0,1069.842105263158,0.9047619047619048,751.32894516,4,1
Steering wheel (ctrl),12,3,2:50,2:57,7,5.0,1069.842105263158,0.9047619047619048,776.615858078,5,1
Steering wheel (ctrl),12,3,2:50,2:57,7,5.0,1069.842105263158,0.9047619047619048,795.6938743589999,6,1
Steering wheel (ctrl),12,3,2:50,2:57,7,5.0,1069.842105263158,0.9047619047619048,999.7680187230001,7,1
Steering wheel (ctrl),12,3,2:50,2:57,7,5.0,1069.842105263158,0.9047619047619048,704.061031342,8,1
Axle (non-ctrl),13,3,3:46,3:51,5,4.0,1392.625,0.7272727272727273,,1,0
Axle (non-ctrl),13,3,3:46,3:51,5,4.0,1392.625,0.7272727272727273,,2,0
Axle (non-ctrl),13,3,3:46,3:51,5,4.0,1392.625,0.7272727272727273,779.5841693880001,3,1
Axle (non-ctrl),13,3,3:46,3:51,5,4.0,1392.625,0.7272727272727273,,4,0
Axle (non-ctrl),13,3,3:46,3:51,5,4.0,1392.625,0.7272727272727273,1483.60300064,5,1
Axle (non-ctrl),13,3,3:46,3:51,5,4.0,1392.625,0.7272727272727273,,6,0
Axle (non-ctrl),13,3,3:46,3:51,5,4.0,1392.625,0.7272727272727273,1313.94886971,7,1
Axle (non-ctrl),13,3,3:46,3:51,5,4.0,1392.625,0.7272727272727273,839.334964752,8,1
Box (ctrl),17,4,4:24,4:31,7,18.0,1355.764705882353,0.9444444444444444,1252.45189667,1,1
Box (ctrl),17,4,4:24,4:31,7,18.0,1355.764705882353,0.9444444444444444,1525.17104149,2,1
Box (ctrl),17,4,4:24,4:31,7,18.0,1355.764705882353,0.9444444444444444,1222.20110893,3,1
Box (ctrl),17,4,4:24,4:31,7,18.0,1355.764705882353,0.9444444444444444,955.955982208,4,1
Box (ctrl),17,4,4:24,4:31,7,18.0,1355.764705882353,0.9444444444444444,1442.20995903,5,1
Box (ctrl),17,4,4:24,4:31,7,18.0,1355.764705882353,0.9444444444444444,982.161045074,6,1
Box (ctrl),17,4,4:24,4:31,7,18.0,1355.764705882353,0.9444444444444444,2295.3248024,7,1
Box (ctrl),17,4,4:24,4:31,7,18.0,1355.764705882353,0.9444444444444444,790.541887283,8,1
Hammer (ctrl),14,3,4:51,4:59,8,0.0,1875.6315789473683,0.95,1335.79397202,1,1
Hammer (ctrl),14,3,4:51,4:59,8,0.0,1875.6315789473683,0.95,,2,0
Hammer (ctrl),14,3,4:51,4:59,8,0.0,1875.6315789473683,0.95,,3,0
Hammer (ctrl),14,3,4:51,4:59,8,0.0,1875.6315789473683,0.95,1837.00895309,4,1
Hammer (ctrl),14,3,4:51,4:59,8,0.0,1875.6315789473683,0.95,1325.98805428,5,1
